"filename", "language", "Vue", "JavaScript", "comment", "blank", "total"
"d:\Employment\code\Club_Management_System\club_web\src\App.vue", "Vue", 10, 0, 0, 2, 12
"d:\Employment\code\Club_Management_System\club_web\src\api\article.js", "JavaScript", 0, 7, 1, 3, 11
"d:\Employment\code\Club_Management_System\club_web\src\api\department.js", "JavaScript", 0, 10, 3, 4, 17
"d:\Employment\code\Club_Management_System\club_web\src\api\user.js", "JavaScript", 0, 16, 9, 2, 27
"d:\Employment\code\Club_Management_System\club_web\src\components\archive\list.vue", "Vue", 64, 0, 0, 3, 67
"d:\Employment\code\Club_Management_System\club_web\src\components\common\Slider\Slider.vue", "Vue", 68, 0, 5, 6, 79
"d:\Employment\code\Club_Management_System\club_web\src\components\common\card\club-card.vue", "Vue", 65, 0, 0, 8, 73
"d:\Employment\code\Club_Management_System\club_web\src\components\common\topic\index.js", "JavaScript", 0, 7, 0, 3, 10
"d:\Employment\code\Club_Management_System\club_web\src\components\common\topic\main.vue", "Vue", 37, 0, 1, 3, 41
"d:\Employment\code\Club_Management_System\club_web\src\components\system\SysDialog.vue", "Vue", 79, 0, 2, 2, 83
"d:\Employment\code\Club_Management_System\club_web\src\layout\common\Footer.vue", "Vue", 58, 0, 0, 3, 61
"d:\Employment\code\Club_Management_System\club_web\src\layout\common\Header.vue", "Vue", 216, 0, 1, 6, 223
"d:\Employment\code\Club_Management_System\club_web\src\layout\common\main.vue", "Vue", 45, 0, 16, 7, 68
"d:\Employment\code\Club_Management_System\club_web\src\layout\index.vue", "Vue", 145, 0, 3, 26, 174
"d:\Employment\code\Club_Management_System\club_web\src\main.js", "JavaScript", 0, 17, 2, 5, 24
"d:\Employment\code\Club_Management_System\club_web\src\router\index.js", "JavaScript", 0, 52, 0, 4, 56
"d:\Employment\code\Club_Management_System\club_web\src\store\getters.js", "JavaScript", 0, 19, 0, 1, 20
"d:\Employment\code\Club_Management_System\club_web\src\store\index.js", "JavaScript", 0, 16, 4, 6, 26
"d:\Employment\code\Club_Management_System\club_web\src\store\modules\user.js", "JavaScript", 0, 65, 6, 5, 76
"d:\Employment\code\Club_Management_System\club_web\src\utils\auth.js", "JavaScript", 0, 24, 4, 3, 31
"d:\Employment\code\Club_Management_System\club_web\src\utils\myconfirm.js", "JavaScript", 0, 16, 1, 1, 18
"d:\Employment\code\Club_Management_System\club_web\src\utils\request.js", "JavaScript", 0, 168, 101, 5, 274
"d:\Employment\code\Club_Management_System\club_web\src\utils\resrtForm.js", "JavaScript", 0, 8, 4, 0, 12
"d:\Employment\code\Club_Management_System\club_web\src\utils\validate.js", "JavaScript", 0, 55, 45, 12, 112
"d:\Employment\code\Club_Management_System\club_web\src\views\article\article.vue", "Vue", 106, 0, 6, 4, 116
"d:\Employment\code\Club_Management_System\club_web\src\views\article\articleDetails.vue", "Vue", 101, 0, 5, 4, 110
"d:\Employment\code\Club_Management_System\club_web\src\views\article\post.vue", "Vue", 19, 0, 0, 7, 26
"d:\Employment\code\Club_Management_System\club_web\src\views\club\clubList.vue", "Vue", 207, 0, 21, 5, 233
"d:\Employment\code\Club_Management_System\club_web\src\views\home\Home.vue", "Vue", 19, 0, 0, 7, 26
"d:\Employment\code\Club_Management_System\club_web\src\views\user\login.vue", "Vue", 136, 0, 1, 8, 145
"d:\Employment\code\Club_Management_System\club_web\src\views\user\register.vue", "Vue", 184, 0, 2, 7, 193
"d:\Employment\code\Club_Management_System\club_web\src\views\user\userInfo.vue", "Vue", 14, 0, 0, 3, 17
"Total", "-", 1573, 480, 243, 165, 2461
